Category: All categories

Month,escort near me: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,8
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,3
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,2
2006-02,4
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,3
2007-03,0
2007-04,2
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,2
2007-12,1
2008-01,0
2008-02,0
2008-03,0
2008-04,3
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,1
2008-12,0
2009-01,0
2009-02,2
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,1
2010-07,1
2010-08,0
2010-09,0
2010-10,0
2010-11,2
2010-12,0
2011-01,0
2011-02,0
2011-03,<1
2011-04,0
2011-05,1
2011-06,0
2011-07,0
2011-08,0
2011-09,1
2011-10,0
2011-11,0
2011-12,1
2012-01,<1
2012-02,0
2012-03,1
2012-04,0
2012-05,0
2012-06,2
2012-07,0
2012-08,1
2012-09,2
2012-10,0
2012-11,0
2012-12,1
2013-01,<1
2013-02,1
2013-03,0
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,0
2013-11,1
2013-12,1
2014-01,0
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,1
2014-08,3
2014-09,3
2014-10,2
2014-11,3
2014-12,3
2015-01,2
2015-02,2
2015-03,2
2015-04,3
2015-05,3
2015-06,3
2015-07,4
2015-08,5
2015-09,3
2015-10,4
2015-11,4
2015-12,5
2016-01,6
2016-02,6
2016-03,6
2016-04,6
2016-05,9
2016-06,9
2016-07,9
2016-08,9
2016-09,10
2016-10,10
2016-11,11
2016-12,9
2017-01,13
2017-02,11
2017-03,11
2017-04,13
2017-05,12
2017-06,11
2017-07,14
2017-08,13
2017-09,12
2017-10,13
2017-11,13
2017-12,13
2018-01,13
2018-02,13
2018-03,14
2018-04,27
2018-05,28
2018-06,33
2018-07,36
2018-08,37
2018-09,38
2018-10,41
2018-11,42
2018-12,40
2019-01,39
2019-02,41
2019-03,46
2019-04,48
2019-05,53
2019-06,56
2019-07,56
2019-08,60
2019-09,58
2019-10,58
2019-11,58
2019-12,61
2020-01,52
2020-02,55
2020-03,48
2020-04,49
2020-05,58
2020-06,68
2020-07,79
2020-08,70
2020-09,69
2020-10,73
2020-11,75
2020-12,75
2021-01,77
2021-02,84
2021-03,94
2021-04,88
2021-05,99
2021-06,100
2021-07,95
2021-08,97
2021-09,93
2021-10,94
2021-11,94
2021-12,95
2022-01,64
2022-02,62
2022-03,69
2022-04,73
2022-05,80
2022-06,82
2022-07,88
2022-08,79
