Category: All categories

Region,escort near me: (1/1/04 - 8/21/22)
South Carolina,100
Florida,90
Alabama,85
Delaware,84
Louisiana,78
Arkansas,76
North Carolina,76
Mississippi,74
Nevada,72
Tennessee,70
Maryland,69
Pennsylvania,69
Indiana,69
Georgia,64
Michigan,64
West Virginia,63
Texas,63
New Jersey,63
Virginia,63
California,61
Connecticut,60
Ohio,56
Kentucky,56
Arizona,56
New York,56
Rhode Island,53
Kansas,53
Oklahoma,53
New Mexico,50
Colorado,50
Washington,50
Missouri,49
Massachusetts,47
Illinois,46
Iowa,43
Wisconsin,42
New Hampshire,40
Maine,36
Utah,35
Hawaii,34
Oregon,32
Minnesota,31
Nebraska,31
Idaho,30
District of Columbia,25
South Dakota,
North Dakota,
Wyoming,
Vermont,
Montana,
Alaska,
